producto,precioFinal,fechaPublicacion
Diésel pesado,0.0,2009-05-22
Emulsión asfáltica,0.0,2009-05-22
LPG (70-30),0.0,2009-05-22
Av-Gas,659.0,2009-05-22
Jet fuel A-1,312.0,2009-05-22
Nafta liviana,0.0,2009-05-22
Nafta Pesada,0.0,2009-05-22
Gasolina súper,484.0,2009-04-14
Gasolina plus 91,474.0,2009-04-14
Gasolina plus 91 pescadores,0.0,2009-04-14
"Diésel 0,05% S",386.0,2009-04-14
"Diésel 0,05% S pescadores",0.0,2009-04-14
Diésel térmico,0.0,2009-04-14
Keroseno,333.0,2009-04-14
Búnker,0.0,2009-04-14
IFO 380,0.0,2009-04-14
Asfalto,0.0,2009-04-14
Diésel pesado,0.0,2009-04-14
Emulsión asfáltica,0.0,2009-04-14
LPG (70-30),0.0,2009-04-14
Av-Gas,690.0,2009-04-14
Jet fuel A-1,366.0,2009-04-14
Nafta liviana,0.0,2009-04-14
Nafta Pesada,0.0,2009-04-14
Gasolina súper,487.0,2009-03-19
Gasolina plus 91,474.0,2009-03-19
Gasolina plus 91 pescadores,0.0,2009-03-19
"Diésel 0,05% S",415.0,2009-03-19
"Diésel 0,05% pescadores",0.0,2009-03-19
"Diésel 0,20% S",412.0,2009-03-19
"Diésel 0,20% pescadores",0.0,2009-03-19
"Diésel 0,5% S",411.0,2009-03-19
Keroseno,357.0,2009-03-19
Búnker,0.0,2009-03-19
IFO 380,0.0,2009-03-19
Asfalto,0.0,2009-03-19
Diésel pesado,0.0,2009-03-19
Emulsión asfáltica,0.0,2009-03-19
LPG (70-30),0.0,2009-03-19
Av-Gas,680.0,2009-03-19
Jet fuel A-1,391.0,2009-03-19
Nafta liviana,0.0,2009-03-19
Nafta Pesada,0.0,2009-03-19
Gasolina súper,435.0,2009-02-20
Gasolina plus 91,429.0,2009-02-20
Gasolina plus 91 pescadores,0.0,2009-02-20
"Diésel 0,05% S",435.0,2009-02-20
"Diésel 0,05% pescadores",0.0,2009-02-20
"Diésel 0,20% S",432.0,2009-02-20
"Diésel 0,20% pescadores",0.0,2009-02-20
"Diésel 0,5% S",431.0,2009-02-20
Keroseno,393.0,2009-02-20
Búnker,0.0,2009-02-20
IFO 380,0.0,2009-02-20
Asfalto,0.0,2009-02-20
Diésel pesado,0.0,2009-02-20
Emulsión asfáltica,0.0,2009-02-20
LPG (70-30),0.0,2009-02-20
Av-Gas,630.0,2009-02-20
Jet fuel A-1,426.0,2009-02-20
Nafta liviana,0.0,2009-02-20
Nafta Pesada,0.0,2009-02-20
Gasolina súper,432.0,2009-02-12
Gasolina plus 91,426.0,2009-02-12
Gasolina plus 91 pescadores,0.0,2009-02-12
"Diésel 0,05% S",433.0,2009-02-12
"Diésel 0,05% pescadores",0.0,2009-02-12
"Diésel 0,20% S",430.0,2009-02-12
"Diésel 0,20% pescadores",0.0,2009-02-12
"Diésel 0,5% S",429.0,2009-02-12
Keroseno,392.0,2009-02-12
Búnker,0.0,2009-02-12
IFO 380,0.0,2009-02-12
Asfalto,0.0,2009-02-12
Diésel pesado,0.0,2009-02-12
Emulsión asfáltica,0.0,2009-02-12
LPG (70-30),0.0,2009-02-12
Av-Gas,627.0,2009-02-12
Jet fuel A-1,424.0,2009-02-12
Nafta liviana,0.0,2009-02-12
Nafta Pesada,0.0,2009-02-12
Gasolina súper,416.0,2009-01-19
Gasolina plus 91,408.0,2009-01-19
Gasolina plus 91 pescadores,0.0,2009-01-19
"Diésel 0,05% S",430.0,2009-01-19
"Diésel 0,05% pescadores",0.0,2009-01-19
"Diésel 0,20% S",427.0,2009-01-19
"Diésel 0,20% pescadores",0.0,2009-01-19
"Diésel 0,5% S",425.0,2009-01-19
Keroseno,381.0,2009-01-19
Búnker,0.0,2009-01-19
IFO 380,0.0,2009-01-19
Asfalto,0.0,2009-01-19
Diésel pesado,0.0,2009-01-19
Emulsión asfáltica,0.0,2009-01-19
LPG (70-30),0.0,2009-01-19
Av-Gas,639.0,2009-01-19
Jet fuel A-1,413.0,2009-01-19
Nafta liviana,0.0,2009-01-19
Nafta Pesada,0.0,2009-01-19
Gasolina súper,488.0,2008-12-11
Gasolina plus 91,474.0,2008-12-11
Gasolina plus 91 pescadores,0.0,2008-12-11
"Diésel 0,05% S",526.0,2008-12-11
"Diésel 0,05% pescadores",0.0,2008-12-11
"Diésel 0,20% S",522.0,2008-12-11
"Diésel 0,20% pescadores",0.0,2008-12-11
"Diésel 0,5% S",521.0,2008-12-11
Keroseno,477.0,2008-12-11
Búnker,0.0,2008-12-11
IFO 380,0.0,2008-12-11
Asfalto,0.0,2008-12-11
Diésel pesado,0.0,2008-12-11
Emulsión asfáltica,0.0,2008-12-11
LPG (70-30),0.0,2008-12-11
Av-Gas,481.0,2008-12-11
Jet fuel A-1,514.0,2008-12-11
Nafta liviana,0.0,2008-12-11
Nafta Pesada,0.0,2008-12-11
Gasolina súper,640.0,2008-11-24
Gasolina plus 91,624.0,2008-11-24
Gasolina plus 91 pescadores,0.0,2008-11-24
"Diésel 0,05% S",617.0,2008-11-24
"Diésel 0,05% pescadores",0.0,2008-11-24
"Diésel 0,20% S",609.0,2008-11-24
"Diésel 0,20% pescadores",0.0,2008-11-24
"Diésel 0,5% S",607.0,2008-11-24
Keroseno,569.0,2008-11-24
Búnker,0.0,2008-11-24
IFO 380,0.0,2008-11-24
Asfalto,0.0,2008-11-24
Diésel pesado,0.0,2008-11-24
Emulsión asfáltica,0.0,2008-11-24
LPG (70-30),0.0,2008-11-24
Av-Gas,625.0,2008-11-24
Jet fuel A-1,607.0,2008-11-24
Nafta liviana,0.0,2008-11-24
Nafta Pesada,0.0,2008-11-24
Gasolina súper,692.0,2008-11-21
Gasolina plus 91,670.0,2008-11-21
Gasolina plus 91 pescadores,0.0,2008-11-21
"Diésel 0,05% S",627.0,2008-11-21
"Diésel 0,05% pescadores",0.0,2008-11-21
"Diésel 0,20% S",612.0,2008-11-21
"Diésel 0,20% pescadores",0.0,2008-11-21
"Diésel 0,5% S",611.0,2008-11-21
Keroseno,613.0,2008-11-21
Búnker,0.0,2008-11-21
IFO 380,0.0,2008-11-21
Asfalto,0.0,2008-11-21
Diésel pesado,0.0,2008-11-21
Emulsión asfáltica,0.0,2008-11-21
LPG (70-30),0.0,2008-11-21
Av-Gas,786.0,2008-11-21
Jet fuel A-1,640.0,2008-11-21
Nafta liviana,0.0,2008-11-21
Nafta Pesada,0.0,2008-11-21
Gasolina súper,687.0,2008-11-05
Gasolina plus 91,665.0,2008-11-05
Gasolina plus 91 pescadores,0.0,2008-11-05
"Diésel 0,05% S",624.0,2008-11-05
"Diésel 0,05% pescadores",0.0,2008-11-05
"Diésel 0,20% S",609.0,2008-11-05
"Diésel 0,20% pescadores",0.0,2008-11-05
"Diésel 0,5% S",608.0,2008-11-05
Keroseno,612.0,2008-11-05
Búnker,0.0,2008-11-05
IFO 380,0.0,2008-11-05
Asfalto,0.0,2008-11-05
Diésel pesado,0.0,2008-11-05
Emulsión asfáltica,0.0,2008-11-05
LPG (70-30),0.0,2008-11-05
Av-Gas,781.0,2008-11-05
Jet fuel A-1,637.0,2008-11-05
Nafta liviana,0.0,2008-11-05
Nafta Pesada,0.0,2008-11-05
Gasolina súper,722.0,2008-10-13
Gasolina plus 91,708.0,2008-10-13
Gasolina plus 91 pescadores,0.0,2008-10-13
"Diésel 0,05% S",661.0,2008-10-13
"Diésel 0,05% pescadores",0.0,2008-10-13
"Diésel 0,20% S",650.0,2008-10-13
"Diésel 0,20% pescadores",0.0,2008-10-13
"Diésel 0,5% S",649.0,2008-10-13
Keroseno,628.0,2008-10-13
Búnker,0.0,2008-10-13
IFO 380,0.0,2008-10-13
Asfalto,0.0,2008-10-13
Diésel pesado,0.0,2008-10-13
Emulsión asfáltica,0.0,2008-10-13
LPG (70-30),0.0,2008-10-13
Av-Gas,814.0,2008-10-13
Jet fuel A-1,657.0,2008-10-13
Nafta liviana,0.0,2008-10-13
Nafta Pesada,0.0,2008-10-13
Gasolina súper,736.0,2008-09-10
Gasolina plus 91,721.0,2008-09-10
Gasolina plus 91 pescadores,0.0,2008-09-10
"Diésel 0,05% S",732.0,2008-09-10
"Diésel 0,05% pescadores",0.0,2008-09-10
"Diésel 0,20% S",726.0,2008-09-10
"Diésel 0,20% pescadores",0.0,2008-09-10
"Diésel 0,5% S",725.0,2008-09-10
Keroseno,694.0,2008-09-10
Búnker,0.0,2008-09-10
IFO 380,0.0,2008-09-10
Asfalto,0.0,2008-09-10
Diésel pesado,0.0,2008-09-10
Emulsión asfáltica,0.0,2008-09-10
LPG (70-30),0.0,2008-09-10
Av-Gas,829.0,2008-09-10
Jet fuel A-1,723.0,2008-09-10
Nafta liviana,0.0,2008-09-10
Nafta Pesada,0.0,2008-09-10
Gasolina súper,737.0,2008-08-29
Gasolina plus 91,726.0,2008-08-29
Gasolina plus 91 pescadores,0.0,2008-08-29
"Diésel 0,05% S",734.0,2008-08-29
"Diésel 0,05% pescadores",0.0,2008-08-29
"Diésel 0,20% S",729.0,2008-08-29
"Diésel 0,20% pescadores",0.0,2008-08-29
"Diésel 0,5% S",728.0,2008-08-29
Keroseno,694.0,2008-08-29
Búnker,0.0,2008-08-29
IFO 380,0.0,2008-08-29
Asfalto,0.0,2008-08-29
Diésel pesado,0.0,2008-08-29
Emulsión asfáltica,0.0,2008-08-29
LPG (70-30),0.0,2008-08-29
Av-Gas,820.0,2008-08-29
Jet fuel A-1,724.0,2008-08-29
Nafta liviana,0.0,2008-08-29
Nafta Pesada,0.0,2008-08-29
Gasolina súper,732.0,2008-08-12
Gasolina plus 91,721.0,2008-08-12
Gasolina plus 91 pescadores,0.0,2008-08-12
"Diésel 0,05% S",731.0,2008-08-12
"Diésel 0,05% pescadores",0.0,2008-08-12
"Diésel 0,20% S",726.0,2008-08-12
"Diésel 0,20% pescadores",0.0,2008-08-12
"Diésel 0,5% S",725.0,2008-08-12
Keroseno,693.0,2008-08-12
Búnker,0.0,2008-08-12
IFO 380,0.0,2008-08-12
Asfalto,0.0,2008-08-12
Diésel pesado,0.0,2008-08-12
Emulsión asfáltica,0.0,2008-08-12
LPG (70-30),0.0,2008-08-12
Av-Gas,815.0,2008-08-12
Jet fuel A-1,721.0,2008-08-12
Nafta liviana,0.0,2008-08-12
Nafta Pesada,0.0,2008-08-12
Gasolina súper,714.0,2008-07-14
Gasolina plus 91,702.0,2008-07-14
Gasolina plus 91 pescadores,0.0,2008-07-14
"Diésel 0,05% S",720.0,2008-07-14
"Diésel 0,05% pescadores",0.0,2008-07-14
"Diésel 0,20% S",708.0,2008-07-14
"Diésel 0,20% pescadores",0.0,2008-07-14
"Diésel 0,5% S",707.0,2008-07-14
Keroseno,673.0,2008-07-14
Búnker,0.0,2008-07-14
IFO 380,0.0,2008-07-14
Asfalto,0.0,2008-07-14
Diésel pesado,0.0,2008-07-14
Emulsión asfáltica,0.0,2008-07-14
LPG (70-30),0.0,2008-07-14
Av-Gas,797.0,2008-07-14
Jet fuel A-1,702.0,2008-07-14
Nafta liviana,0.0,2008-07-14
Nafta Pesada,0.0,2008-07-14
Gasolina súper,656.0,2008-06-09
Gasolina plus 91,644.0,2008-06-09
Gasolina plus 91 pescadores,0.0,2008-06-09
"Diésel 0,05% S",641.0,2008-06-09
"Diésel 0,05% pescadores",0.0,2008-06-09
"Diésel 0,25% S",622.0,2008-06-09
"Diésel 0,25% pescadores",0.0,2008-06-09
"Diésel 0,5% S",621.0,2008-06-09
Keroseno,599.0,2008-06-09
Búnker,0.0,2008-06-09
IFO 380,0.0,2008-06-09
Asfalto,0.0,2008-06-09
Diésel pesado,0.0,2008-06-09
Emulsión asfáltica,0.0,2008-06-09
LPG (70-30),0.0,2008-06-09
Av-Gas,707.0,2008-06-09
Jet fuel A-1,627.0,2008-06-09
Nafta liviana,0.0,2008-06-09
Nafta Pesada,0.0,2008-06-09
Gasolina súper,617.0,2008-05-16
Gasolina plus 91,600.0,2008-05-16
"Diésel 0,05% S",605.0,2008-05-16
"Diésel 0,25% S",584.0,2008-05-16
"Diésel 0,25% pescadores",0.0,2008-05-16
"Diésel 0,5% S",583.0,2008-05-16
Keroseno,557.0,2008-05-16
Av-Gas,661.0,2008-05-16
Jet fuel A-1,585.0,2008-05-16
Gasolina súper,621.0,2008-05-16
Gasolina plus 91,604.0,2008-05-16
Gasolina plus 91 pescadores,0.0,2008-05-16
"Diésel 0,05% S",607.0,2008-05-16
"Diésel 0,05% pescadores",0.0,2008-05-16
"Diésel 0,20% S",587.0,2008-05-16
"Diésel 0,20% pescadores",0.0,2008-05-16
"Diésel 0,5% S",586.0,2008-05-16
Keroseno,558.0,2008-05-16
Búnker,0.0,2008-05-16
IFO 380,0.0,2008-05-16
Asfalto,0.0,2008-05-16
Diésel pesado,0.0,2008-05-16
Emulsión asfáltica,0.0,2008-05-16
LPG (70-30),0.0,2008-05-16
Av-Gas,665.0,2008-05-16
Jet fuel A-1,587.0,2008-05-16
Nafta liviana,0.0,2008-05-16
Nafta Pesada,0.0,2008-05-16
Gasolina súper,601.0,2008-04-21
Gasolina plus 91,588.0,2008-04-21
Gasolina plus 91 pescadores,0.0,2008-04-21
"Diésel 0,05% S",579.0,2008-04-21
"Diésel 0,05% pescadores",0.0,2008-04-21
"Diésel 0,25% S",556.0,2008-04-21
"Diésel 0,25% pescadores",0.0,2008-04-21
"Diésel 0,5% S",555.0,2008-04-21
Keroseno,526.0,2008-04-21
Búnker,0.0,2008-04-21
IFO 380,0.0,2008-04-21
Asfalto,0.0,2008-04-21
Diésel pesado,0.0,2008-04-21
Emulsión asfáltica,0.0,2008-04-21
LPG (70-30),0.0,2008-04-21
Av-Gas,641.0,2008-04-21
Jet fuel A-1,553.0,2008-04-21
Nafta liviana,0.0,2008-04-21
Nafta Pesada,0.0,2008-04-21
Gasolina súper,565.0,2008-03-05
Gasolina plus 91,553.0,2008-03-05
Gasolina plus 91 pescadores,0.0,2008-03-05
"Diésel 0,05% S",517.0,2008-03-05
"Diésel 0,05% pescadores",0.0,2008-03-05
"Diésel 0,25% S",511.0,2008-03-05
"Diésel 0,25% pescadores",0.0,2008-03-05
"Diésel 0,5% S",510.0,2008-03-05
Keroseno,476.0,2008-03-05
Búnker,0.0,2008-03-05
IFO 380,0.0,2008-03-05
Asfalto,0.0,2008-03-05
Diésel pesado,0.0,2008-03-05
Emulsión asfáltica,0.0,2008-03-05
LPG (70-30),0.0,2008-03-05
Av-Gas,603.0,2008-03-05
Jet fuel A-1,504.0,2008-03-05
Nafta liviana,0.0,2008-03-05
Nafta Pesada,0.0,2008-03-05
Gasolina súper,578.0,2008-02-22
Gasolina plus 91,565.0,2008-02-22
Gasolina plus 91 pescadores,0.0,2008-02-22
"Diésel 0,05% S",531.0,2008-02-22
"Diésel 0,05% pescadores",0.0,2008-02-22
"Diésel 0,25% S",527.0,2008-02-22
"Diésel 0,25% pescadores",0.0,2008-02-22
"Diésel 0,5% S",526.0,2008-02-22
Keroseno,488.0,2008-02-22
Búnker,0.0,2008-02-22
IFO 380,0.0,2008-02-22
Asfalto,0.0,2008-02-22
Diésel pesado,0.0,2008-02-22
Emulsión asfáltica,0.0,2008-02-22
LPG (70-30),0.0,2008-02-22
Av-Gas,614.0,2008-02-22
Jet fuel A-1,516.0,2008-02-22
Nafta liviana,0.0,2008-02-22
Nafta Pesada,0.0,2008-02-22
Gasolina súper,573.0,2008-02-13
Gasolina plus 91,560.0,2008-02-13
Gasolina plus 91 pescadores,0.0,2008-02-13
"Diésel 0,05% S",528.0,2008-02-13
"Diésel 0,05% pescadores",0.0,2008-02-13
"Diésel 0,25% S",524.0,2008-02-13
"Diésel 0,25% pescadores",0.0,2008-02-13
"Diésel 0,5% S",523.0,2008-02-13
Keroseno,487.0,2008-02-13
Búnker,0.0,2008-02-13
IFO 380,0.0,2008-02-13
Asfalto,0.0,2008-02-13
Diésel pesado,0.0,2008-02-13
Emulsión asfáltica,0.0,2008-02-13
LPG (70-30),0.0,2008-02-13
Av-Gas,610.0,2008-02-13
Jet fuel A-1,513.0,2008-02-13
Nafta liviana,0.0,2008-02-13
Nafta Pesada,0.0,2008-02-13
Gasolina súper,562.0,2008-01-21
Gasolina plus 91,551.0,2008-01-21
Gasolina plus 91 pescadores,0.0,2008-01-21
"Diésel 0,05% S",528.0,2008-01-21
"Diésel 0,05% pescadores",0.0,2008-01-21
"Diésel 0,35% S",521.0,2008-01-21
"Diésel 0,35% pescadores",0.0,2008-01-21
"Diésel 0,5% S",520.0,2008-01-21
Keroseno,486.0,2008-01-21
Búnker,0.0,2008-01-21
IFO 380,0.0,2008-01-21
Asfalto,0.0,2008-01-21
Diésel pesado,0.0,2008-01-21
Emulsión asfáltica,0.0,2008-01-21
LPG (70-30),0.0,2008-01-21
Av-Gas,597.0,2008-01-21
Jet fuel A-1,512.0,2008-01-21
Nafta liviana,0.0,2008-01-21
Nafta Pesada,0.0,2008-01-21
Gasolina súper,574.0,2007-12-10
Gasolina plus 91,559.0,2007-12-10
Gasolina plus 91 pescadores,0.0,2007-12-10
Diésel ,513.0,2007-12-10
Diésel pescadores,0.0,2007-12-10
Keroseno,481.0,2007-12-10
Búnker,0.0,2007-12-10
IFO 380,0.0,2007-12-10
Asfalto,0.0,2007-12-10
Diésel pesado o gasóleo,0.0,2007-12-10
Emulsión asfáltica,0.0,2007-12-10
LPG -mezcla 70-30,0.0,2007-12-10
Av-gas,619.0,2007-12-10
Jet A- general,507.0,2007-12-10
Nafta liviana,0.0,2007-12-10
Nafta pesada,0.0,2007-12-10
Gasolina súper,552.0,2007-11-23
Gasolina plus 91,539.0,2007-11-23
Gasolina plus 91 pescadores,0.0,2007-11-23
Diésel ,488.0,2007-11-23
Diésel pescadores,0.0,2007-11-23
Keroseno,456.0,2007-11-23
Búnker,0.0,2007-11-23
IFO 380,0.0,2007-11-23
Asfalto,0.0,2007-11-23
Diésel pesado o gasóleo,0.0,2007-11-23
Emulsión asfáltica,0.0,2007-11-23
LPG -mezcla 70-30,0.0,2007-11-23
Av-gas,593.0,2007-11-23
Jet A- general,482.0,2007-11-23
Nafta liviana,0.0,2007-11-23
Nafta pesada,0.0,2007-11-23
Gasolina súper,543.0,2007-11-12
Gasolina plus 91,527.0,2007-11-12
Gasolina plus 91 pescadores,0.0,2007-11-12
Diésel ,462.0,2007-11-12
Diésel pescadores,0.0,2007-11-12
Keroseno,433.0,2007-11-12
Búnker,0.0,2007-11-12
IFO 380,0.0,2007-11-12
Asfalto,0.0,2007-11-12
Diésel pesado o gasóleo,0.0,2007-11-12
Emulsión asfáltica,0.0,2007-11-12
LPG -mezcla 70-30,0.0,2007-11-12
Av-gas,589.0,2007-11-12
Jet A- general,458.0,2007-11-12
Nafta liviana,0.0,2007-11-12
Nafta pesada,0.0,2007-11-12
Gasolina súper,548.0,2007-11-08
Gasolina plus 91,535.0,2007-11-08
Gasolina plus 91 pescadores,0.0,2007-11-08
Diésel ,486.0,2007-11-08
Diésel pescadores,0.0,2007-11-08
Keroseno,454.0,2007-11-08
Búnker,0.0,2007-11-08
IFO 380,0.0,2007-11-08
Asfalto,0.0,2007-11-08
Diésel pesado o gasóleo,0.0,2007-11-08
Emulsión asfáltica,0.0,2007-11-08
LPG -mezcla 70-30,0.0,2007-11-08
Av-gas,589.0,2007-11-08
Jet A- general,480.0,2007-11-08
Nafta liviana,0.0,2007-11-08
Nafta pesada,0.0,2007-11-08
Gasolina súper,624.0,2007-08-17
Gasolina plus 91,588.0,2007-08-17
Gasolina plus 91 pescadores,0.0,2007-08-17
Diésel ,427.0,2007-08-17
Diésel pescadores,0.0,2007-08-17
Keroseno,437.0,2007-08-17
Búnker,0.0,2007-08-17
Asfalto,0.0,2007-08-17
Diésel pesado o gasóleo,0.0,2007-08-17
Emulsión asfáltica,0.0,2007-08-17
LPG -mezcla 70-30,0.0,2007-08-17
Av-gas,702.0,2007-08-17
Jet A- general,455.0,2007-08-17
Nafta pesada,0.0,2007-08-17
Gasolina súper,620.0,2007-08-08
Gasolina plus 91,584.0,2007-08-08
Gasolina plus 91 pescadores,0.0,2007-08-08
Diésel ,424.0,2007-08-08
Diésel pescadores,0.0,2007-08-08
Keroseno,436.0,2007-08-08
Búnker,0.0,2007-08-08
Asfalto,0.0,2007-08-08
Diésel pesado o gasóleo,0.0,2007-08-08
Emulsión asfáltica,0.0,2007-08-08
LPG -mezcla 70-30,0.0,2007-08-08
Av-gas,698.0,2007-08-08
Jet A- general,453.0,2007-08-08
Nafta pesada,0.0,2007-08-08
Gasolina súper,588.0,2007-06-06
Gasolina plus 91,552.0,2007-06-06
Gasolina plus 91 pescadores,0.0,2007-06-06
Diésel ,392.0,2007-06-06
Diésel pescadores,0.0,2007-06-06
Keroseno,426.0,2007-06-06
Búnker,0.0,2007-06-06
Asfalto,0.0,2007-06-06
Diésel pesado o gasóleo,0.0,2007-06-06
Emulsión asfáltica,0.0,2007-06-06
LPG -mezcla 70-30,0.0,2007-06-06
Av-gas,645.0,2007-06-06
Jet A- general,431.0,2007-06-06
Nafta pesada,0.0,2007-06-06
Diésel ,390.0,2007-05-17
Diésel pescadores,0.0,2007-05-17
Keroseno,425.0,2007-05-17
Búnker,0.0,2007-05-17
Diésel pesado o gasóleo,0.0,2007-05-17
Jet A- general,430.0,2007-05-17
Nafta pesada,0.0,2007-05-17
LPG -mezcla 70-30,0.0,2007-05-17
Asfalto,0.0,2007-05-17
Emulsión asfáltica,0.0,2007-05-17
Gasolina súper,584.0,2007-05-17
Gasolina plus 91,549.0,2007-04-27
Gasolina plus 91 pescadores,0.0,2007-04-27
Gasolina súper,568.0,2007-04-25
Av-gas,642.0,2007-04-25
Diésel ,375.0,2007-04-25
Diésel pescadores,0.0,2007-04-25
Keroseno,403.0,2007-04-25
Jet A- general,409.0,2007-04-25
LPG -mezcla 70-30,0.0,2007-04-25
Nafta pesada,0.0,2007-04-25
Búnker,0.0,2007-04-25
Diésel pesado o gasóleo,0.0,2007-04-25
Gasolina plus 91,509.0,2007-04-13
Gasolina plus 91 pescadores,0.0,2007-04-13
Av-gas,581.0,2007-04-11
Gasolina súper,533.0,2007-04-11
Asfalto,0.0,2007-03-30
Emulsión asfáltica,0.0,2007-03-30
LPG -mezcla 70-30,0.0,2007-03-30
Gasolina súper,517.0,2007-03-22
Gasolina plus 91,493.0,2007-03-22
Gasolina plus 91 pescadores,0.0,2007-03-22
Av-gas,553.0,2007-03-22
Nafta pesada,0.0,2007-03-22
Diésel pesado o gasóleo,0.0,2007-03-15
Diésel ,362.0,2007-03-15
Diésel pescadores,0.0,2007-03-15
Keroseno,385.0,2007-03-15
Jet A- general,394.0,2007-03-15
Búnker,0.0,2007-03-15
Gasolina súper,483.0,2007-03-08
Gasolina plus 91,459.0,2007-03-08
Gasolina plus 91 pescadores,0.0,2007-03-08
Av-gas,511.0,2007-03-08
Nafta pesada,0.0,2007-03-08
Gasolina súper,466.0,2007-02-27
Gasolina plus 91,440.0,2007-02-27
Gasolina plus 91 pescadores,0.0,2007-02-27
Diésel ,349.0,2007-02-27
Diésel pescadores,0.0,2007-02-27
Keroseno,370.0,2007-02-27
Búnker,0.0,2007-02-27
Asfalto,0.0,2007-02-27
Diésel pesado o gasóleo,0.0,2007-02-27
Emulsión asfáltica,0.0,2007-02-27
LPG -mezcla 70-30,0.0,2007-02-27
Av-gas,482.0,2007-02-27
Jet A- general,380.0,2007-02-27
Nafta pesada,0.0,2007-02-27
Diésel ,347.0,2007-02-21
Av-gas,479.0,2007-02-21
Gasolina plus 91,436.0,2007-02-21
Gasolina plus 91 pescadores,0.0,2007-02-21
Keroseno,369.0,2007-02-21
Búnker,0.0,2007-02-21
Jet A- general,378.0,2007-02-21
Nafta pesada,0.0,2007-02-21
Diésel pesado o gasóleo,0.0,2007-02-21
Gasolina súper,463.0,2007-02-21
LPG -mezcla 70-30,0.0,2007-02-21
Asfalto,0.0,2007-02-21
Emulsión asfáltica,0.0,2007-02-21
Diésel pesado o gasóleo,0.0,2007-02-05
Av-gas,461.0,2007-02-05
Gasolina súper,453.0,2007-01-25
Gasolina plus 91,425.0,2007-01-25
Gasolina plus 91 pescadores,0.0,2007-01-25
Diésel ,335.0,2007-01-25
Diésel pescadores,0.0,2007-01-25
Keroseno,356.0,2007-01-25
Búnker,0.0,2007-01-25
Jet A- general,368.0,2007-01-25
Nafta pesada,0.0,2007-01-25
Diésel pesado o gasóleo,0.0,2007-01-23
Av-gas,481.0,2007-01-23
LPG -mezcla 70-30,0.0,2007-01-23
Gasolina súper,488.0,2007-01-09
Gasolina plus 91,460.0,2007-01-09
Gasolina plus 91 pescadores,0.0,2007-01-09
Diésel ,364.0,2007-01-09
Diésel pescadores,0.0,2007-01-09
Keroseno,387.0,2007-01-09
Búnker,0.0,2007-01-09
Asfalto,0.0,2007-01-09
Diésel pesado o gasóleo,0.0,2007-01-09
Emulsión asfáltica,0.0,2007-01-09
Gas Licuado de Petróleo,0.0,2007-01-09
Av-gas,505.0,2007-01-09
Jet A- general,398.0,2007-01-09
Nafta pesada,0.0,2007-01-09
Gasolina súper,516.0,2006-12-19
Gasolina plus 91,486.0,2006-12-19
Gasolina plus 91 pescadores,0.0,2006-12-19
Keroseno,395.0,2006-12-19
Jet A- general,350.0,2006-12-19
Nafta pesada,0.0,2006-12-19
Asfalto,0.0,2006-12-15
Av-gas,593.0,2006-12-13
Emulsión asfáltica,0.0,2006-12-13
Diésel pesado o gasóleo,0.0,2006-11-29
Asfalto,0.0,2006-11-16
Emulsión asfáltica,0.0,2006-11-13
Gasolina súper,504.0,2006-11-06
Gasolina plus 91,474.0,2006-11-06
Gasolina plus 91 pescadores,0.0,2006-11-06
Diésel ,346.0,2006-11-06
Diésel pescadores,0.0,2006-11-06
Keroseno,381.0,2006-11-06
Búnker,0.0,2006-11-06
Asfalto,0.0,2006-11-06
Diésel pesado o gasóleo,0.0,2006-11-06
Emulsión asfáltica,0.0,2006-11-06
LPG -mezcla 70-30,0.0,2006-11-06
Av-gas,570.0,2006-11-06
Jet A- general,338.0,2006-11-06
Nafta liviana,0.0,2006-11-06
Nafta pesada,0.0,2006-11-06
Av-gas,568.0,2006-11-03
Asfalto,0.0,2006-11-03
LPG -mezcla 70-30,0.0,2006-10-26
Emulsión asfáltica,0.0,2006-10-26
Asfalto,0.0,2006-10-09
Diésel ,342.0,2006-10-03
Diésel pescadores,0.0,2006-10-03
Diésel pesado o gasóleo,0.0,2006-10-03
LPG -mezcla 70-30,0.0,2006-10-03
Av-gas,588.0,2006-10-03
Gasolina súper,499.0,2006-10-03
Gasolina plus 91,469.0,2006-10-03
Gasolina plus 91 pescadores,0.0,2006-10-03
Keroseno,378.0,2006-10-03
Búnker,0.0,2006-10-03
Jet A- general,337.0,2006-10-03
Nafta pesada,0.0,2006-10-03
Gasolina súper,513.0,2006-09-25
Gasolina plus 91,485.0,2006-09-25
Gasolina plus 91 pescadores,0.0,2006-09-25
Keroseno,403.0,2006-09-25
Búnker,0.0,2006-09-25
Jet A- general,360.0,2006-09-25
Nafta pesada,0.0,2006-09-25
LPG -mezcla 70-30,0.0,2006-09-21
Diésel ,364.0,2006-09-21
Diésel pescadores,0.0,2006-09-21
Diésel pesado o gasóleo,0.0,2006-09-21
Gasolina súper,575.0,2006-09-14
Gasolina plus 91,550.0,2006-09-14
Gasolina plus 91 pescadores,0.0,2006-09-14
Búnker,0.0,2006-09-14
Asfalto,0.0,2006-09-14
Diésel pesado o gasóleo,0.0,2006-09-14
Emulsión asfáltica,0.0,2006-09-14
LPG -mezcla 70-30,0.0,2006-09-14
Av-gas,667.0,2006-09-14
Gasolina súper,528.0,2006-09-13
Gasolina plus 91,501.0,2006-09-13
Gasolina plus 91 pescadores,0.0,2006-09-13
Keroseno,421.0,2006-09-13
